,disease,inform_slots
84,Chancroid,"['pain in eye', 'pain during pregnancy', 'excessive urination at night', 'excessive anger', 'joint stiffness or tightness', 'knee lump or mass','ankle pain', 'fatigue']"
85,Chancroid,"['fatigue', 'pain in eye', 'facial pain', 'pain or soreness of breast', 'knee lump or mass', 'excessive urination at night','wrist pain', 'pain during pregnancy']"
86,Chancroid,"['pain in eye', 'pain or soreness of breast', 'pain during pregnancy', 'excessive urination at night', 'facial pain','knee lump or mass', 'fatigue']"
87,Chancroid,"['excessive urination at night', 'knee lump or mass', 'fatigue', 'pain or soreness of breast','wrist pain', 'pain in eye']"
88,Chancroid,"['fatigue', 'excessive anger', 'pain during pregnancy', 'wrist pain', 'ankle pain','shoulder cramps or spasms', 'pain in eye']"
89,Chancroid,"['shoulder cramps or spasms', 'pain during pregnancy', 'excessive urination at night', 'pain in eye', 'joint stiffness or tightness', 'wrist pain','ankle pain', 'excessive anger']"
90,Chlamydia,"['vaginal discharge', 'lower abdominal pain', 'penile discharge', 'groin pain','penis pain', 'vaginal pain']"
91,Chlamydia,"['penis pain', 'vaginal discharge', 'vaginal itching', 'painful urination', 'sharp abdominal pain','penile discharge', 'lower abdominal pain']"
92,Chlamydia,"['vaginal discharge', 'groin pain', 'painful urination', 'sharp abdominal pain','lower abdominal pain', 'penile discharge']"
93,Chlamydia,"['pelvic pain', 'penile discharge', 'painful urination', 'groin pain', 'lower abdominal pain', 'sharp abdominal pain','vaginal pain', 'vaginal discharge']"
95,Chlamydia,"['vaginal pain', 'itching of skin', 'vaginal itching', 'frequent urination', 'penile discharge', 'painful urination','vaginal discharge', 'sharp abdominal pain']"
96,Chlamydia,"['penile discharge', 'painful urination', 'groin pain', 'vaginal pain', 'frequent urination', 'itching of skin','vaginal discharge', 'pelvic pain']"
97,Chlamydia,"['lower abdominal pain', 'penile discharge', 'vaginal discharge', 'itching of skin', 'groin pain', 'penis pain','sharp abdominal pain', 'vaginal pain']"
98,Chlamydia,"['penile discharge', 'vaginal itching', 'vaginal pain', 'penis pain', 'vaginal discharge','groin pain', 'lower abdominal pain']"
100,Chlamydia,"['penis pain', 'groin pain', 'lower abdominal pain', 'itching of skin','sharp abdominal pain', 'penile discharge']"
101,Chlamydia,"['pelvic pain', 'painful urination', 'vaginal pain', 'vaginal itching', 'sharp abdominal pain','penile discharge', 'vaginal discharge']"
102,Chlamydia,"['penile discharge', 'painful urination', 'penis pain', 'vaginal discharge', 'vaginal pain', 'sharp abdominal pain','frequent urination', 'itching of skin']"
103,Acariasis,"['itching of skin', 'cross-eyed', 'skin rash', 'feeling hot and cold','emotional symptoms', 'skin lesion']"
104,Acariasis,"['feeling hot and cold', 'skin rash', 'vomiting', 'swelling of scrotum', 'skin lesion','itching of skin', 'elbow weakness']"
105,Acariasis,"['skin lesion', 'bowlegged or knock-kneed', 'itching of skin', 'swelling of scrotum','elbow weakness', 'skin rash']"
106,Acariasis,"['wrist weakness', 'skin rash', 'itching of skin', 'bowlegged or knock-kneed', 'vomiting', 'swelling of scrotum','skin lesion', 'cross-eyed']"
107,Acariasis,"['skin lesion', 'cross-eyed', 'skin rash', 'vomiting', 'elbow weakness', 'swelling of scrotum','excessive growth', 'itching of skin']"
108,Acariasis,"['vomiting', 'itching of skin', 'bowlegged or knock-kneed', 'swelling of scrotum', 'wrist weakness', 'skin lesion','skin rash', 'feeling hot and cold']"
109,Acariasis,"['vomiting', 'skin rash', 'swelling of scrotum', 'skin lesion', 'wrist weakness', 'emotional symptoms','itching of skin', 'excessive growth']"
110,Acariasis,"['skin rash', 'skin lesion', 'swelling of scrotum', 'emotional symptoms', 'itching of skin','wrist weakness', 'vomiting']"
111,Acariasis,"['emotional symptoms', 'wrist weakness', 'vomiting', 'skin lesion','itching of skin', 'skin rash']"
112,Acariasis,"['wrist weakness', 'swelling of scrotum', 'cross-eyed', 'vomiting', 'skin lesion','skin rash', 'itching of skin']"
113,Acariasis,"['skin rash', 'swelling of scrotum', 'emotional symptoms', 'itching of skin', 'skin lesion', 'vomiting','cross-eyed', 'excessive growth']"
114,Gonorrhea,"['sharp abdominal pain', 'itching of skin', 'penile discharge', 'spotting or bleeding during pregnancy','cramps and spasms', 'penis redness']"
115,Gonorrhea,"['spotting or bleeding during pregnancy', 'sharp abdominal pain', 'penis redness', 'vaginal itching', 'vaginal discharge','penile discharge', 'itching of skin']"
116,Gonorrhea,"['sharp abdominal pain', 'spotting or bleeding during pregnancy', 'vaginal discharge', 'vaginal itching','itching of skin', 'penile discharge']"
117,Gonorrhea,"['vaginal pain', 'penile discharge', 'vaginal itching', 'spotting or bleeding during pregnancy', 'itching of skin', 'vaginal discharge','painful urination', 'sharp abdominal pain']"
118,Gonorrhea,"['painful urination', 'paresthesia', 'penis redness', 'problems with movement', 'penile discharge', 'vaginal itching','sharp abdominal pain', 'vaginal discharge']"
119,Gonorrhea,"['penile discharge', 'vaginal discharge', 'vaginal pain', 'painful urination', 'paresthesia', 'problems with movement','sharp abdominal pain', 'itching of skin']"
120,Gonorrhea,"['itching of skin', 'penile discharge', 'sharp abdominal pain', 'problems with movement', 'spotting or bleeding during pregnancy', 'cramps and spasms','vaginal discharge', 'penis redness']"
121,Gonorrhea,"['penile discharge', 'problems with movement', 'painful urination', 'cramps and spasms', 'sharp abdominal pain','spotting or bleeding during pregnancy', 'itching of skin']"
123,Gonorrhea,"['cramps and spasms', 'spotting or bleeding during pregnancy', 'itching of skin', 'problems with movement','vaginal discharge', 'penile discharge']"
124,Gonorrhea,"['vaginal pain', 'vaginal itching', 'problems with movement', 'penis redness', 'vaginal discharge','penile discharge', 'sharp abdominal pain']"
125,Gonorrhea,"['penile discharge', 'vaginal itching', 'spotting or bleeding during pregnancy', 'sharp abdominal pain', 'penis redness', 'painful urination','paresthesia', 'vaginal discharge']"
126,Fluid overload,"['peripheral edema', 'weakness', 'shortness of breath', 'sharp chest pain','hand or finger swelling', 'difficulty breathing']"
127,Fluid overload,"['sharp chest pain', 'peripheral edema', 'nausea', 'fluid retention', 'sharp abdominal pain','shortness of breath', 'weakness']"
129,Fluid overload,"['peripheral edema', 'sharp chest pain', 'fluid retention', 'sharp abdominal pain','weakness', 'shortness of breath']"
131,Fluid overload,"['hand or finger swelling', 'shortness of breath', 'leg swelling', 'sharp chest pain', 'weakness', 'fluid retention','nausea', 'sharp abdominal pain']"
132,Fluid overload,"['sharp abdominal pain', 'nausea', 'difficulty breathing', 'vomiting', 'shortness of breath', 'leg swelling','peripheral edema', 'fluid retention']"
134,Fluid overload,"['shortness of breath', 'fluid retention', 'sharp chest pain', 'nausea', 'difficulty breathing', 'vomiting','sharp abdominal pain', 'cough']"
135,Fluid overload,"['cough', 'shortness of breath', 'peripheral edema', 'vomiting', 'sharp chest pain', 'hand or finger swelling','sharp abdominal pain', 'nausea']"
136,Fluid overload,"['shortness of breath', 'difficulty breathing', 'leg swelling', 'hand or finger swelling', 'peripheral edema','sharp chest pain', 'weakness']"
137,Fluid overload,"['hand or finger swelling', 'sharp chest pain', 'cough', 'vomiting','sharp abdominal pain', 'shortness of breath']"
138,Fluid overload,"['cough', 'leg swelling', 'difficulty breathing', 'nausea', 'fluid retention','shortness of breath', 'peripheral edema']"
139,Fluid overload,"['shortness of breath', 'leg swelling', 'sharp chest pain', 'peripheral edema', 'difficulty breathing', 'fluid retention','vomiting', 'nausea']"
140,Diabetic ketoacidosis,"['nausea', 'thirst', 'vomiting', 'frequent urination','fluid retention', 'sharp chest pain']"
142,Diabetic ketoacidosis,"['frequent urination', 'nausea', 'diarrhea', 'sharp abdominal pain', 'weakness','vomiting', 'decreased appetite']"
143,Diabetic ketoacidosis,"['sharp chest pain', 'polyuria', 'weakness', 'nausea','decreased appetite', 'vomiting']"
144,Diabetic ketoacidosis,"['polyuria', 'vomiting', 'sharp abdominal pain', 'frequent urination', 'decreased appetite', 'weakness','sharp chest pain', 'nausea']"
145,Diabetic ketoacidosis,"['sharp chest pain', 'decreased appetite', 'nausea', 'depressive or psychotic symptoms', 'vomiting', 'sharp abdominal pain','diarrhea', 'weakness']"
146,Diabetic ketoacidosis,"['vomiting', 'weakness', 'polyuria', 'sharp abdominal pain', 'depressive or psychotic symptoms', 'diarrhea','nausea', 'thirst']"
148,Diabetic ketoacidosis,"['decreased appetite', 'vomiting', 'nausea', 'depressive or psychotic symptoms', 'frequent urination', 'fluid retention','weakness', 'diarrhea']"
150,Diabetic ketoacidosis,"['vomiting', 'diarrhea', 'sharp chest pain', 'fluid retention', 'nausea','frequent urination', 'decreased appetite']"
151,Diabetic ketoacidosis,"['fluid retention', 'frequent urination', 'decreased appetite', 'depressive or psychotic symptoms','weakness', 'vomiting']"
152,Diabetic ketoacidosis,"['thirst', 'sharp abdominal pain', 'sharp chest pain', 'diarrhea', 'weakness','vomiting', 'nausea']"
153,Diabetic ketoacidosis,"['vomiting', 'sharp abdominal pain', 'frequent urination', 'nausea', 'sharp chest pain', 'diarrhea','depressive or psychotic symptoms', 'weakness']"
154,Amyloidosis,"['fatigue', 'abnormal appearing skin', 'shortness of breath', 'wrist weakness','eye strain', 'fever']"
155,Amyloidosis,"['abnormal appearing skin', 'fatigue', 'congestion in chest', 'symptoms of the kidneys', 'anxiety and nervousness','shortness of breath', 'weakness']"
156,Amyloidosis,"['fatigue', 'abnormal appearing skin', 'symptoms of the kidneys', 'anxiety and nervousness','weakness', 'shortness of breath']"
157,Amyloidosis,"['wrist weakness', 'shortness of breath', 'symptoms of the kidneys', 'abnormal appearing skin', 'weakness', 'anxiety and nervousness','congestion in chest', 'fatigue']"
158,Amyloidosis,"['anxiety and nervousness', 'abnormal appearing skin', 'fever', 'weakness', 'shortness of breath', 'congestion in chest','fatigue', 'symptoms of the kidneys']"
159,Amyloidosis,"['shortness of breath', 'symptoms of the kidneys', 'abnormal appearing skin', 'congestion in chest', 'anxiety and nervousness', 'weakness','fatigue', 'fever']"
160,Amyloidosis,"['abnormal appearing skin', 'shortness of breath', 'fatigue', 'fever', 'feeling hot and cold', 'eye strain','anxiety and nervousness', 'congestion in chest']"
161,Amyloidosis,"['shortness of breath', 'fever', 'congestion in chest', 'eye strain', 'anxiety and nervousness','feeling hot and cold', 'weakness']"
162,Amyloidosis,"['eye strain', 'feeling hot and cold', 'abnormal appearing skin', 'fever','anxiety and nervousness', 'shortness of breath']"
163,Amyloidosis,"['abnormal appearing skin', 'congestion in chest', 'fever', 'symptoms of the kidneys', 'anxiety and nervousness','shortness of breath', 'fatigue']"
164,Amyloidosis,"['shortness of breath', 'symptoms of the kidneys', 'abnormal appearing skin', 'fatigue', 'fever', 'congestion in chest','weakness', 'anxiety and nervousness']"
166,Diabetes insipidus,"['cough', 'emotional symptoms', 'excessive appetite', 'elbow weakness','hip stiffness or tightness', 'frequent urination']"
167,Diabetes insipidus,"['elbow weakness', 'cough', 'dizziness', 'difficulty in swallowing', 'frequent urination','excessive appetite', 'itchy eyelid']"
168,Diabetes insipidus,"['frequent urination', 'elbow cramps or spasms', 'difficulty in swallowing', 'cough','itchy eyelid', 'excessive appetite']"
169,Diabetes insipidus,"['nailbiting', 'excessive appetite', 'difficulty in swallowing', 'elbow weakness', 'dizziness', 'cough','frequent urination', 'emotional symptoms']"
171,Diabetes insipidus,"['cough', 'emotional symptoms', 'excessive appetite', 'dizziness', 'itchy eyelid', 'frequent urination','wrist weakness', 'difficulty in swallowing']"
173,Diabetes insipidus,"['excessive appetite', 'difficulty in swallowing', 'elbow cramps or spasms', 'frequent urination', 'nailbiting', 'dizziness','cough', 'elbow weakness']"
174,Diabetes insipidus,"['dizziness', 'excessive appetite', 'cough', 'frequent urination', 'nailbiting', 'hip stiffness or tightness','difficulty in swallowing', 'wrist weakness']"
175,Diabetes insipidus,"['excessive appetite', 'frequent urination', 'difficulty in swallowing', 'hip stiffness or tightness', 'cough','nailbiting', 'dizziness']"
176,Diabetes insipidus,"['hip stiffness or tightness', 'nailbiting', 'dizziness', 'frequent urination','difficulty in swallowing', 'excessive appetite']"
177,Diabetes insipidus,"['nailbiting', 'frequent urination', 'emotional symptoms', 'dizziness', 'difficulty in swallowing','excessive appetite', 'cough']"
178,Diabetes insipidus,"['excessive appetite', 'difficulty in swallowing', 'hip stiffness or tightness', 'cough', 'frequent urination', 'dizziness','emotional symptoms', 'wrist weakness']"
179,Diabetic retinopathy,"['spots or clouds in vision', 'blindness', 'diminished vision', 'abnormal movement of eyelid','double vision', 'symptoms of eye']"
180,Diabetic retinopathy,"['abnormal movement of eyelid', 'diminished vision', 'symptoms of eye', 'lacrimation', 'pain in eye','spots or clouds in vision', 'blindness']"
181,Diabetic retinopathy,"['lacrimation', 'abnormal movement of eyelid', 'pain in eye', 'spots or clouds in vision','blindness', 'diminished vision']"
182,Diabetic retinopathy,"['bleeding from eye', 'diminished vision', 'pain in eye', 'abnormal movement of eyelid', 'itchiness of eye', 'lacrimation','symptoms of eye', 'spots or clouds in vision']"
184,Diabetic retinopathy,"['lacrimation', 'itchiness of eye', 'symptoms of eye', 'eye redness', 'diminished vision', 'pain in eye','foreign body sensation in eye', 'spots or clouds in vision']"
186,Diabetic retinopathy,"['diminished vision', 'pain in eye', 'bleeding from eye', 'lacrimation', 'foreign body sensation in eye', 'eye redness','spots or clouds in vision', 'blindness']"
187,Diabetic retinopathy,"['blindness', 'diminished vision', 'pain in eye', 'foreign body sensation in eye', 'abnormal movement of eyelid', 'double vision','spots or clouds in vision', 'symptoms of eye']"
188,Diabetic retinopathy,"['diminished vision', 'eye redness', 'symptoms of eye', 'double vision', 'spots or clouds in vision','abnormal movement of eyelid', 'itchiness of eye']"
189,Diabetic retinopathy,"['double vision', 'abnormal movement of eyelid', 'blindness', 'foreign body sensation in eye','spots or clouds in vision', 'diminished vision']"
190,Diabetic retinopathy,"['bleeding from eye', 'pain in eye', 'foreign body sensation in eye', 'symptoms of eye', 'lacrimation','diminished vision', 'spots or clouds in vision']"
191,Diabetic retinopathy,"['diminished vision', 'lacrimation', 'abnormal movement of eyelid', 'spots or clouds in vision', 'symptoms of eye', 'pain in eye','itchiness of eye', 'foreign body sensation in eye']"
192,Diabetic retinopathy,"['bleeding from eye', 'eye redness', 'lacrimation', 'symptoms of eye', 'pain in eye', 'foreign body sensation in eye','diminished vision', 'itchiness of eye']"
193,Diabetic peripheral neuropathy,"['foot or toe pain', 'foot or toe swelling', 'skin lesion', 'poor circulation','foot or toe stiffness or tightness', 'leg pain']"
194,Diabetic peripheral neuropathy,"['poor circulation', 'foot or toe pain', 'paresthesia', 'leg pain', 'loss of sensation','skin lesion', 'foot or toe swelling']"
195,Diabetic peripheral neuropathy,"['leg pain', 'skin on leg or foot looks infected', 'loss of sensation', 'foot or toe pain','foot or toe swelling', 'skin lesion']"
197,Diabetic peripheral neuropathy,"['lymphedema', 'skin lesion', 'loss of sensation', 'skin on leg or foot looks infected', 'problems with movement', 'paresthesia','leg pain', 'foot or toe pain']"
198,Diabetic peripheral neuropathy,"['loss of sensation', 'lymphedema', 'skin lesion', 'paresthesia', 'problems with movement', 'leg pain','foot or toe swelling', 'foot or toe pain']"
199,Diabetic peripheral neuropathy,"['skin lesion', 'loss of sensation', 'lymphedema', 'leg pain', 'skin on leg or foot looks infected', 'paresthesia','foot or toe pain', 'foot or toe swelling']"
200,Diabetic peripheral neuropathy,"['foot or toe swelling', 'skin lesion', 'loss of sensation', 'paresthesia', 'hand or finger cramps or spasms', 'foot or toe stiffness or tightness','foot or toe pain', 'problems with movement']"
201,Diabetic peripheral neuropathy,"['skin lesion', 'paresthesia', 'leg pain', 'poor circulation', 'foot or toe pain','hand or finger cramps or spasms', 'problems with movement']"
202,Diabetic peripheral neuropathy,"['foot or toe stiffness or tightness', 'hand or finger cramps or spasms', 'foot or toe swelling', 'paresthesia','foot or toe pain', 'skin lesion']"
203,Diabetic peripheral neuropathy,"['skin on leg or foot looks infected', 'loss of sensation', 'problems with movement', 'paresthesia', 'leg pain','skin lesion', 'foot or toe pain']"
204,Diabetic peripheral neuropathy,"['skin lesion', 'loss of sensation', 'poor circulation', 'foot or toe pain', 'leg pain', 'paresthesia','foot or toe swelling', 'problems with movement']"
205,Diabetic peripheral neuropathy,"['poor circulation', 'paresthesia', 'foot or toe pain', 'leg pain', 'loss of sensation', 'lymphedema','skin lesion', 'problems with movement']"
206,Carcinoid syndrome,"['neck cramps or spasms', 'wrist weakness', 'involuntary urination', 'joint stiffness or tightness','itchy eyelid', 'shoulder swelling']"
207,Carcinoid syndrome,"['itchy eyelid', 'involuntary urination', 'eye strain', 'vulvar sore', 'knee lump or mass','neck cramps or spasms', 'wrist weakness']"
208,Carcinoid syndrome,"['excessive growth', 'itchy eyelid', 'neck cramps or spasms', 'vulvar sore','wrist weakness', 'involuntary urination']"
210,Carcinoid syndrome,"['joint stiffness or tightness', 'involuntary urination', 'excessive growth', 'itchy eyelid', 'wrist weakness', 'loss of sex drive','eye strain', 'neck cramps or spasms']"
211,Carcinoid syndrome,"['neck cramps or spasms', 'vulvar sore', 'loss of sex drive', 'shoulder swelling', 'involuntary urination', 'excessive growth','eye strain', 'knee lump or mass']"
212,Carcinoid syndrome,"['knee lump or mass', 'neck cramps or spasms', 'joint stiffness or tightness', 'vulvar sore', 'nailbiting', 'shoulder swelling','involuntary urination', 'itchy eyelid']"
213,Carcinoid syndrome,"['joint stiffness or tightness', 'involuntary urination', 'excessive growth', 'nailbiting', 'wrist weakness', 'itchy eyelid','knee lump or mass', 'loss of sex drive']"
